Participant Number,Pre/Post/Intervention,Student/Counselor,Modality,Sampling Rate,Start Time,End Time,Duration,Gender,Extra Info,Mean,Median,Mode,Standard Deviation,Normalized Mean,Normalized Median,Normalized Mode,Normalized Standard Deviation
04,Pre,Student,Right,8,18:56:19,19:03:41,00:07:22,Males,,0.994,1.145,"[(0.0, 294)]",0.813,0.402,0.464,"[(0.0, 294)]",0.329
04,Post,Counselor,Left,8,20:08:55,20:17:28,00:08:33,Males,Hosea,1.438,2.008,"[(0.0, 39)]",0.987,0.553,0.773,"[(0.0, 39)]",0.38
04,Post,Counselor,Right,8,20:08:55,20:17:28,00:08:33,Males,Hosea,1.038,1.095,"[(1.125, 231)]",0.246,0.665,0.702,"[(0.721, 231)]",0.158
04,Post,Student,Left,4,20:08:55,20:17:28,00:08:33,Males,Hosea,0.215,0.208,"[(0.218, 78)]",0.09,0.141,0.136,"[(0.143, 78)]",0.059
04,Post,Student,Right,8,20:08:55,20:17:28,00:08:33,Males,Hosea,1.811,1.832,"[(1.791, 108)]",0.697,0.535,0.541,"[(0.529, 108)]",0.206
04,Intervention,Student,Left,,,,,,,,,,,,,,
04,Intervention,Student,Right,,,,,,,,,,,,,,
05,Pre,Counselor,Left,8,19:06:56,19:14:01,00:07:05,Males,,0.026,0.026,"[(0.0, 180)]",0.021,0.191,0.19,"[(0.0, 180)]",0.153
05,Pre,Counselor,Right,8,19:06:56,19:14:01,00:07:05,Males,,0.029,0.024,"[(0.0, 62)]",0.027,0.202,0.169,"[(0.0, 62)]",0.19
05,Pre,Student,Left,4,19:06:56,19:14:01,00:07:05,Males,,0.111,0.121,"[(0.133, 131)]",0.04,0.128,0.14,"[(0.154, 131)]",0.046
05,Pre,Student,Right,8,19:06:56,19:14:01,00:07:05,Males,,0.093,0.105,"[(0.096, 216)]",0.038,0.727,0.82,"[(0.75, 216)]",0.299
05,Post,Counselor,Left,8,21:19:45,21:27:26,00:07:41,Males,Tochukwa,1.818,1.795,"[(1.78, 186)]",0.49,0.703,0.694,"[(0.688, 186)]",0.189
05,Post,Counselor,Right,8,21:19:45,21:27:26,00:07:41,Males,Tochukwa,0.514,0.555,"[(0.568, 36)]",0.162,0.775,0.837,"[(0.857, 36)]",0.245
05,Post,Student,Left,4,21:19:45,21:27:26,00:07:41,Males,Tochukwa,1.157,1.276,"[(0.002, 108)]",0.389,0.709,0.781,"[(0.001, 108)]",0.238
05,Post,Student,Right,8,21:19:45,21:27:26,00:07:41,Males,Tochukwa,1.097,1.384,"[(0.0, 447)]",0.582,0.639,0.806,"[(0.0, 447)]",0.339
05,Intervention,Student,Left,,,,,,,,,,,,,,
05,Intervention,Student,Right,,,,,,,,,,,,,,
06,Pre,Counselor,Left,8,19:16:22,19:25:33,00:9:11,Males,,0.054,0.07,"[(0.073, 226)]",0.06,0.071,0.092,"[(0.096, 226)]",0.078
06,Pre,Counselor,Right,8,19:16:22,19:25:33,00:9:11,Males,,0.049,0.03,"[(0.094, 177)]",0.037,0.455,0.278,"[(0.87, 177)]",0.345
06,Pre,Student,Left,4,19:16:22,19:25:33,00:9:11,Males,,0.685,0.94,"[(0.002, 23)]",0.397,0.633,0.868,"[(0.002, 23)]",0.366
06,Pre,Student,Right,8,19:16:22,19:25:33,00:9:11,Males,,0.42,0.525,"[(0.0, 160)]",0.196,0.665,0.831,"[(0.0, 160)]",0.311
06,Post,Counselor,Left,8,19:44:55,19:56:00,00:11:05,Males,Jeff,0.36,0.372,"[(0.378, 431)]",0.049,0.666,0.688,"[(0.699, 431)]",0.091
06,Post,Counselor,Right,8,19:44:55,19:56:00,00:11:05,Males,Jeff,0.297,0.396,"[(0.0, 44)]",0.187,0.372,0.497,"[(0.0, 44)]",0.235
06,Post,Student,Left,4,19:44:55,19:56:00,00:11:05,Males,Jeff,1.429,1.452,"[(0.002, 14)]",0.79,0.539,0.548,"[(0.001, 14)]",0.298
06,Post,Student,Right,8,19:44:55,19:56:00,00:11:05,Males,Jeff,2.064,2.187,"[(0.0, 258)]",0.644,0.692,0.733,"[(0.0, 258)]",0.216
06,Intervention,Student,Left,4,15:54:40,16:11:06,00:16:26,,,5.078,5.732,"[(5.724, 146)]",1.273,0.813,0.918,"[(0.917, 146)]",0.204
06,Intervention,Student,Right,8,15:54:40,16:11:06,00:16:26,,,3.836,3.933,"[(3.933, 197)]",0.487,0.802,0.822,"[(0.822, 197)]",0.102
07,Pre,Counselor,Left,8,19:28:15,19:35:37,00:07:22,Males,,0.027,0.02,"[(0.036, 140)]",0.017,0.364,0.274,"[(0.493, 140)]",0.229
07,Pre,Counselor,Right,8,19:28:15,19:35:37,00:07:22,Males,,0.062,0.09,"[(0.09, 249)]",0.039,0.599,0.874,"[(0.874, 249)]",0.383
07,Pre,Student,Left,4,19:28:15,19:35:37,00:07:22,Males,,6.609,7.119,"[(8.237, 23)]",2.266,0.624,0.673,"[(0.0, 25)]",0.214
07,Pre,Student,Right,8,19:28:15,19:35:37,00:07:22,Males,,6.962,7.485,"[(8.354, 271)]",2.02,0.79,0.849,"[(0.948, 271)]",0.229
07,Post,Counselor,Left,8,19:13:10,19:18:11,00:05:01,Males,Jacob,1.679,1.814,"[(1.893, 74)]",0.466,0.701,0.757,"[(0.79, 74)]",0.194
07,Post,Counselor,Right,8,19:13:10,19:18:11,00:05:01,Males,Jacob,0.833,1.152,"[(0.0, 54)]",0.504,0.64,0.885,"[(0.0, 54)]",0.387
07,Post,Student,Left,,,,,,,,,,,,,,
07,Post,Student,Right,8,19:13:10,19:18:11,00:05:01,Males,Jacob,3.306,3.497,"[(0.0, 110)]",1.188,0.705,0.746,"[(0.0, 118)]",0.253
07,Intervention,Student,Left,,,,,,,,,,,,,,
07,Intervention,Student,Right,,,,,,,,,,,,,,
08,Pre,Counselor,Left,8,19:38:32,19:46:18,00:07:46,Males,,0.06,0.06,"[(0.06, 127)]",0.033,0.092,0.092,"[(0.092, 127)]",0.05
08,Pre,Counselor,Right,8,19:38:32,19:46:18,00:07:46,Males,,0.044,0.057,"[(0.0, 81)]",0.032,0.416,0.543,"[(0.0, 81)]",0.303
