Participant Number,Pre/Post/Intervention,Student/Counselor,Modality,Sampling Rate,Start Time,End Time,Duration,Gender,Extra Info,Mean,Median,Mode,Standard Deviation,Normalized Mean,Normalized Median,Normalized Mode,Normalized Standard Deviation
18,Post,Student,Left,4,18:42:59,18:50:25,00:07:26,Females,,0.562,0.6,"[(0.002, 76)]",0.29,0.495,0.529,"[(0.002, 76)]",0.255
18,Post,Student,Right,8,18:42:59,18:50:25,00:07:26,Females,,0.428,0.444,"[(0.0, 98)]",0.273,0.373,0.387,"[(0.0, 98)]",0.237
18,Intervention,Student,Left,,,,,,,,,,,,,,
18,Intervention,Student,Right,,,,,,,,,,,,,,
19,Pre,Counselor,Left,8,19:47:28,20:03:03,00:15:35,Females,,0.006,0.0,"[(0.0, 688)]",0.008,0.174,0.0,"[(0.0, 688)]",0.25
19,Pre,Counselor,Right,8,19:47:28,20:03:03,00:15:35,Females,,0.036,0.052,"[(0.0, 571)]",0.027,0.491,0.703,"[(0.0, 571)]",0.359
19,Pre,Student,Left,4,19:47:28,20:03:03,00:15:35,Females,,0.711,0.672,"[(0.026, 143)]",0.508,0.355,0.336,"[(0.013, 143)]",0.254
19,Pre,Student,Right,8,19:47:28,20:03:03,00:15:35,Females,,0.509,0.047,"[(0.0, 718)]",0.562,0.277,0.026,"[(0.0, 718)]",0.306
19,Post,Counselor,Left,8,19:13:49,19:23:54,00:10:05,Females,Noor,0.014,0.002,"[(0.002, 35)]",0.015,0.299,0.042,"[(0.042, 35)]",0.322
19,Post,Counselor,Right,8,19:13:49,19:23:54,00:10:05,Females,Noor,0.04,0.04,"[(0.057, 409)]",0.022,0.507,0.506,"[(0.722, 409)]",0.284
19,Post,Student,Left,4,19:13:49,19:23:54,00:10:05,Females,Noor,1.532,1.892,"[(0.002, 71)]",0.736,0.597,0.737,"[(0.001, 71)]",0.286
19,Post,Student,Right,8,19:13:49,19:23:54,00:10:05,Females,Noor,2.306,2.474,"[(0.0, 97)]",0.649,0.669,0.717,"[(0.0, 97)]",0.188
19,Intervention,Student,Left,,,,,,,,,,,,,,
19,Intervention,Student,Right,,,,,,,,,,,,,,
20,Pre,Counselor,Left,8,20:05:00,20:12:29,00:07:29,Females,,0.011,0.012,"[(0.012, 345)]",0.005,0.489,0.545,"[(0.545, 345)]",0.224
20,Pre,Counselor,Right,8,20:05:00,20:12:29,00:07:29,Females,,0.035,0.041,"[(0.041, 244)]",0.016,0.642,0.759,"[(0.759, 244)]",0.291
20,Pre,Student,Left,4,20:05:00,20:12:29,00:07:29,Females,,1.204,1.559,"[(0.002, 51)]",0.952,0.434,0.562,"[(0.001, 60)]",0.343
20,Pre,Student,Right,8,20:05:00,20:12:29,00:07:29,Females,,1.358,1.695,"[(0.0, 156)]",1.233,0.377,0.47,"[(0.0, 156)]",0.342
20,Post,Counselor,Left,8,17:14:16,17:19:55,00:05:39,Females,Samantha,0.021,0.022,"[(0.022, 52)]",0.015,0.421,0.44,"[(0.44, 52)]",0.292
20,Post,Counselor,Right,8,17:14:16,17:19:55,00:05:39,Females,Samantha,0.063,0.078,"[(0.0, 112)]",0.038,0.55,0.684,"[(0.0, 112)]",0.337
20,Post,Student,Left,4,17:14:16,17:19:55,00:05:39,Females,Samantha,2.621,2.336,"[(0.002, 77)]",1.639,0.419,0.373,"[(0.0, 128)]",0.262
20,Post,Student,Right,8,17:14:16,17:19:55,00:05:39,Females,Samantha,2.707,2.994,"[(0.0, 81)]",1.307,0.527,0.583,"[(0.0, 83)]",0.254
20,Intervention,Student,Left,,,,,,,,,,,,,,
20,Intervention,Student,Right,,,,,,,,,,,,,,
21,Pre,Counselor,Left,8,20:14:14,20:32:11,00:17:57,Females,,0.023,0.028,"[(0.028, 331)]",0.012,0.533,0.651,"[(0.651, 331)]",0.282
21,Pre,Counselor,Right,8,20:14:14,20:32:11,00:17:57,Females,,0.069,0.078,"[(0.078, 439)]",0.025,0.718,0.813,"[(0.813, 439)]",0.261
21,Pre,Student,Left,4,20:14:14,20:32:11,00:17:57,Females,,2.126,2.261,"[(2.389, 81)]",0.447,0.748,0.795,"[(0.84, 81)]",0.157
21,Pre,Student,Right,8,20:14:14,20:32:11,00:17:57,Females,,1.612,1.747,"[(0.0, 118)]",0.485,0.663,0.718,"[(0.0, 118)]",0.2
21,Post,Counselor,Left,8,18:58:35,19:05:00,00:06:25,Females,Deena,0.003,0.0,"[(0.0, 14)]",0.006,0.108,0.0,"[(0.0, 14)]",0.217
21,Post,Counselor,Right,8,18:58:35,19:05:00,00:06:25,Females,Deena,0.029,0.029,"[(0.044, 235)]",0.019,0.356,0.358,"[(0.543, 235)]",0.236
21,Post,Student,Left,4,18:58:35,19:05:00,00:06:25,Females,Deena,1.662,1.771,"[(0.002, 43)]",0.508,0.691,0.736,"[(0.001, 43)]",0.211
21,Post,Student,Right,8,18:58:35,19:05:00,00:06:25,Females,Deena,1.321,1.381,"[(0.0, 196)]",0.565,0.571,0.596,"[(0.0, 196)]",0.244
21,Intervention,Student,Left,,,,,,,,,,,,,,
21,Intervention,Student,Right,,,,,,,,,,,,,,
22,Pre,Counselor,Left,8,20:33:50,20:44:30,00:10:40,Females,,0.014,0.014,"[(0.014, 175)]",0.008,0.494,0.5,"[(0.5, 175)]",0.288
22,Pre,Counselor,Right,8,20:33:50,20:44:30,00:10:40,Females,,0.043,0.054,"[(0.0, 246)]",0.024,0.626,0.783,"[(0.0, 246)]",0.355
22,Pre,Student,Left,4,20:33:50,20:44:30,00:10:40,Females,,0.877,0.967,"[(1.116, 52)]",0.311,0.561,0.618,"[(0.714, 52)]",0.199
22,Pre,Student,Right,8,20:33:50,20:44:30,00:10:40,Females,,0.024,0.026,"[(0.026, 446)]",0.012,0.243,0.26,"[(0.26, 446)]",0.123
22,Post,Counselor,Left,8,17:22:00,17:30:35,00:08:35,Females,Melissa,0.008,0.004,"[(0.004, 187)]",0.011,0.207,0.098,"[(0.098, 187)]",0.263
22,Post,Counselor,Right,8,17:22:00,17:30:35,00:08:35,Females,Melissa,0.068,0.065,"[(0.0, 250)]",0.043,0.106,0.101,"[(0.0, 250)]",0.066
22,Post,Student,Left,4,17:22:00,17:30:35,00:08:35,Females,Melissa,0.381,0.361,"[(0.006, 93)]",0.316,0.457,0.434,"[(0.007, 93)]",0.38
22,Post,Student,Right,8,17:22:00,17:30:35,00:08:35,Females,Melissa,1.711,2.07,"[(0.0, 118)]",0.788,0.674,0.815,"[(0.0, 118)]",0.31
22,Intervention,Student,Left,4,12:37:30,13:00:08,00:22:38,,,1.064,1.13,"[(0.002, 59)]",0.272,0.657,0.697,"[(0.73, 59)]",0.168
22,Intervention,Student,Right,8,12:37:30,13:00:08,00:22:38,,,1.459,1.308,"[(0.0, 356)]",0.776,0.443,0.397,"[(0.0, 356)]",0.236
23,Pre,Counselor,Left,8,20:46:39,20:56:47,00:10:08,Females,,0.016,0.016,"[(0.016, 450)]",0.007,0.531,0.533,"[(0.533, 450)]",0.244
23,Pre,Counselor,Right,8,20:46:39,20:56:47,00:10:08,Females,,0.039,0.05,"[(0.0, 378)]",0.026,0.548,0.694,"[(0.0, 378)]",0.355
23,Pre,Student,Left,4,20:46:39,20:56:47,00:10:08,Females,,0.02,0.024,"[(0.024, 360)]",0.008,0.61,0.75,"[(0.75, 360)]",0.265
23,Pre,Student,Right,8,20:46:39,20:56:47,00:10:08,Females,,0.025,0.028,"[(0.03, 1212)]",0.007,0.722,0.8,"[(0.857, 1212)]",0.202
23,Post,Counselor,Left,8,19:06:32,19:11:50,00:05:18,Females,Elizabeth,0.012,0.008,"[(0.008, 19)]",0.009,0.415,0.276,"[(0.276, 19)]",0.31
23,Post,Counselor,Right,8,19:06:32,19:11:50,00:05:18,Females,Elizabeth,0.031,0.033,"[(0.018, 120)]",0.019,0.483,0.508,"[(0.277, 120)]",0.289
23,Post,Student,Left,4,19:06:32,19:11:50,00:05:18,Females,Elizabeth,0.764,0.716,"[(0.002, 48)]",0.497,0.471,0.441,"[(0.001, 48)]",0.306
23,Post,Student,Right,8,19:06:32,19:11:50,00:05:18,Females,Elizabeth,0.691,0.855,"[(0.0, 228)]",0.614,0.402,0.497,"[(0.0, 228)]",0.357
23,Intervention,Student,Left,,,,,,,,,,,,,,
23,Intervention,Student,Right,,,,,,,,,,,,,,
24,Pre,Counselor,Left,8,20:59:13,21:10:02,00:10:49,Females,,0.013,0.018,"[(0.018, 228)]",0.008,0.457,0.643,"[(0.643, 228)]",0.287
24,Pre,Counselor,Right,8,20:59:13,21:10:02,00:10:49,Females,,0.043,0.043,"[(0.065, 198)]",0.023,0.578,0.581,"[(0.878, 198)]",0.316
24,Pre,Student,Left,4,20:59:13,21:10:02,00:10:49,Females,,3.394,5.151,"[(0.002, 20)]",2.789,0.508,0.77,"[(0.0, 30)]",0.417
24,Pre,Student,Right,8,20:59:13,21:10:02,00:10:49,Females,,3.255,4.2,"[(0.104, 116)]",2.592,0.496,0.64,"[(0.016, 236)]",0.395
24,Post,Counselor,Left,8,17:32:45,17:38:00,00:05:15,Females,Bari,0.067,0.076,"[(0.1, 133)]",0.033,0.501,0.567,"[(0.746, 133)]",0.243
24,Post,Counselor,Right,8,17:32:45,17:38:00,00:05:15,Females,Bari,0.025,0.027,"[(0.029, 264)]",0.006,0.722,0.771,"[(0.829, 264)]",0.159
24,Post,Student,Left,4,17:32:45,17:38:00,00:05:15,Females,Bari,0.083,0.039,"[(0.002, 72)]",0.073,0.408,0.191,"[(0.01, 72)]",0.358
24,Post,Student,Right,8,17:32:45,17:38:00,00:05:15,Females,Bari,0.073,0.054,"[(0.0, 66)]",0.077,0.042,0.031,"[(0.0, 66)]",0.045
24,Intervention,Student,Left,,,,,,,,,,,,,,
24,Intervention,Student,Right,,,,,,,,,,,,,,
25,Pre,Counselor,Left,8,19:12:47,19:20:36,00:07:49,Females,Kathleen,0.328,0.168,"[(0.149, 482)]",0.314,0.246,0.126,"[(0.112, 482)]",0.235
25,Pre,Counselor,Right,8,19:12:47,19:20:36,00:07:49,Females,Kathleen,0.289,0.261,"[(0.0, 24)]",0.262,0.353,0.319,"[(0.0, 24)]",0.319
25,Pre,Student,Left,4,19:12:47,19:20:36,00:07:49,Females,Kathleen,0.098,0.103,"[(0.105, 376)]",0.023,0.154,0.161,"[(0.165, 376)]",0.035
25,Pre,Student,Right,8,19:12:47,19:20:36,00:07:49,Females,Kathleen,0.11,0.112,"[(0.113, 614)]",0.023,0.685,0.7,"[(0.706, 614)]",0.146
25,Post,Counselor,Left,,,,,,,,,,,,,,
25,Post,Counselor,Right,,,,,,,,,,,,,,
25,Post,Student,Left,4,18:48:53,18:59:05,00:10:12,Females,(missing sensor data from counselor),0.772,0.582,"[(0.004, 32)]",0.575,0.352,0.265,"[(0.002, 32)]",0.262
25,Post,Student,Right,8,18:48:53,18:59:05,00:10:12,Females,(missing sensor data from counselor),0.525,0.442,"[(0.0, 61)]",0.345,0.367,0.309,"[(0.0, 61)]",0.242
25,Intervention,Student,Left,4,12:14:42,12:23:35,00:08:53,,,1.392,1.508,"[(1.694, 28)]",0.435,0.607,0.658,"[(0.739, 28)]",0.19
25,Intervention,Student,Right,8,12:14:42,12:23:35,00:08:53,,,2.044,2.381,"[(2.381, 67)]",0.844,0.629,0.732,"[(0.732, 68)]",0.26
26,Pre,Counselor,Left,8,19:27:04,19:32:58,00:05:54,Females,Sophie,0.052,0.054,"[(0.059, 259)]",0.009,0.748,0.783,"[(0.855, 259)]",0.134
26,Pre,Counselor,Right,8,19:27:04,19:32:58,00:05:54,Females,Sophie,0.145,0.158,"[(0.195, 158)]",0.061,0.555,0.603,"[(0.744, 158)]",0.233
26,Pre,Student,Left,4,19:27:04,19:32:58,00:05:54,Females,Sophie,0.068,0.012,"[(0.004, 116)]",0.145,0.064,0.011,"[(0.004, 116)]",0.136
26,Pre,Student,Right,8,19:27:04,19:32:58,00:05:54,Females,Sophie,0.028,0.014,"[(0.0, 290)]",0.04,0.063,0.032,"[(0.0, 290)]",0.091
26,Post,Counselor,Left,8,20:17:57,20:23:57,00:06:00,Females,,0.023,0.012,"[(0.0, 19)]",0.026,0.155,0.082,"[(0.0, 19)]",0.175
26,Post,Counselor,Right,8,20:17:57,20:23:57,00:06:00,Females,,0.061,0.063,"[(0.094, 195)]",0.027,0.528,0.548,"[(0.817, 195)]",0.237
26,Post,Student,Left,4,20:17:57,20:23:57,00:06:00,Females,,0.247,0.199,"[(0.002, 21)]",0.257,0.171,0.138,"[(0.001, 21)]",0.178
26,Post,Student,Right,8,20:17:57,20:23:57,00:06:00,Females,,0.526,0.427,"[(0.0, 150)]",0.337,0.434,0.352,"[(0.0, 150)]",0.278
26,Intervention,Student,Left,4,14:19:46,14:47:53,00:28:07,,,0.559,0.402,"[(0.427, 106)]",0.354,0.335,0.241,"[(0.256, 108)]",0.213
26,Intervention,Student,Right,8,14:19:46,14:47:53,00:28:07,,,1.282,1.043,"[(1.014, 160)]",0.593,0.524,0.426,"[(0.414, 183)]",0.242
27,Pre,Counselor,Left,8,19:35:15,19:41:02,00:05:47,Females,Katherine,0.087,0.089,"[(0.092, 580)]",0.013,0.732,0.748,"[(0.773, 580)]",0.111
27,Pre,Counselor,Right,8,19:35:15,19:41:02,00:05:47,Females,Katherine,0.118,0.137,"[(0.17, 94)]",0.053,0.62,0.721,"[(0.895, 94)]",0.279
27,Pre,Student,Left,4,19:35:15,19:41:02,00:05:47,Females,Katherine,0.011,0.01,"[(0.014, 236)]",0.005,0.534,0.5,"[(0.7, 236)]",0.253
27,Pre,Student,Right,8,19:35:15,19:41:02,00:05:47,Females,Katherine,0.009,0.01,"[(0.016, 435)]",0.005,0.504,0.556,"[(0.889, 435)]",0.296
27,Post,Counselor,Left,8,19:24:54,19:31:29,00:06:35,Females,,0.019,0.006,"[(0.002, 20)]",0.019,0.451,0.14,"[(0.047, 20)]",0.444
27,Post,Counselor,Right,8,19:24:54,19:31:29,00:06:35,Females,,0.051,0.05,"[(0.046, 129)]",0.028,0.495,0.485,"[(0.447, 129)]",0.274
27,Post,Student,Left,4,19:24:54,19:31:29,00:06:35,Females,,0.002,0.002,"[(0.002, 49)]",0.001,0.518,0.5,"[(0.5, 49)]",0.186
27,Post,Student,Right,8,19:24:54,19:31:29,00:06:35,Females,,0.016,0.014,"[(0.032, 447)]",0.012,0.425,0.368,"[(0.842, 447)]",0.303
27,Intervention,Student,Left,4,12:04:32,12:19:26,00:14:54,,,1.312,1.535,"[(0.004, 99)]",0.646,0.592,0.693,"[(0.002, 99)]",0.292
27,Intervention,Student,Right,8,12:04:32,12:19:26,00:14:54,,,1.916,2.366,"[(0.0, 221)]",0.987,0.61,0.754,"[(0.0, 221)]",0.315
28,Pre,Counselor,Left,8,19:53:39,20:01:08,00:07:29,Females,Pratiksha,0.049,0.052,"[(0.059, 277)]",0.013,0.632,0.667,"[(0.756, 277)]",0.161
28,Pre,Counselor,Right,8,19:53:39,20:01:08,00:07:29,Females,Pratiksha,0.088,0.088,"[(0.084, 258)]",0.042,0.51,0.509,"[(0.486, 258)]",0.242
28,Pre,Student,Left,4,19:53:39,20:01:08,00:07:29,Females,Pratiksha,1.702,1.905,"[(0.002, 104)]",0.872,0.594,0.665,"[(0.001, 106)]",0.304
28,Pre,Student,Right,8,19:53:39,20:01:08,00:07:29,Females,Pratiksha,1.728,2.32,"[(0.0, 192)]",1.064,0.596,0.801,"[(0.0, 192)]",0.367
28,Post,Counselor,Left,8,19:15:49,19:22:29,00:06:40,Females,,0.039,0.041,"[(0.041, 194)]",0.01,0.602,0.631,"[(0.631, 194)]",0.161
28,Post,Counselor,Right,8,19:15:49,19:22:29,00:06:40,Females,,0.037,0.035,"[(0.031, 287)]",0.021,0.483,0.461,"[(0.408, 287)]",0.281
28,Post,Student,Left,4,19:15:49,19:22:29,00:06:40,Females,,2.493,2.821,"[(0.002, 35)]",0.953,0.737,0.834,"[(0.001, 41)]",0.282
28,Post,Student,Right,8,19:15:49,19:22:29,00:06:40,Females,,2.537,2.68,"[(0.0, 60)]",0.835,0.674,0.712,"[(0.0, 60)]",0.222
28,Intervention,Student,Left,4,16:52:54,17:9:9,00:16:15,,,1.77,2.086,"[(0.002, 42)]",0.694,0.517,0.609,"[(0.001, 48)]",0.203
28,Intervention,Student,Right,8,16:52:54,17:9:9,00:16:15,,,2.349,2.506,"[(0.0, 71)]",0.619,0.652,0.696,"[(0.0, 71)]",0.172
29,Pre,Counselor,Left,8,20:03:00,20:9:9,00:06:9,Females,Jessica,0.067,0.067,"[(0.067, 752)]",0.008,0.567,0.563,"[(0.563, 752)]",0.07
29,Pre,Counselor,Right,8,20:03:00,20:9:9,00:06:9,Females,Jessica,0.065,0.068,"[(0.081, 111)]",0.035,0.535,0.562,"[(0.669, 111)]",0.289
29,Pre,Student,Left,4,20:03:00,20:9:9,00:06:9,Females,Jessica,6.646,7.257,"[(9.313, 55)]",2.589,0.684,0.746,"[(0.958, 55)]",0.266
29,Pre,Student,Right,8,20:03:00,20:9:9,00:06:9,Females,Jessica,3.938,4.264,"[(0.0, 166)]",2.313,0.572,0.619,"[(0.0, 171)]",0.336
29,Post,Counselor,Left,8,20:37:56,20:45:23,00:07:27,Females,,0.016,0.004,"[(0.039, 82)]",0.018,0.358,0.091,"[(0.886, 82)]",0.404
29,Post,Counselor,Right,8,20:37:56,20:45:23,00:07:27,Females,,0.068,0.07,"[(0.083, 194)]",0.029,0.592,0.609,"[(0.722, 194)]",0.249
29,Post,Student,Left,,,,,,,,,,,,,,
29,Post,Student,Right,8,20:37:56,20:45:23,00:07:27,Females,,4.433,4.888,"[(0.0, 130)]",1.854,0.646,0.713,"[(0.0, 137)]",0.27
29,Intervention,Student,Left,4,11:28:22,11:46:20,00:17:58,,,3.303,3.324,"[(0.002, 280)]",1.554,0.542,0.545,"[(0.0, 317)]",0.255
29,Intervention,Student,Right,8,11:28:22,11:46:20,00:17:58,,,2.272,0.929,"[(0.0, 795)]",2.311,0.358,0.147,"[(0.0, 843)]",0.364
30,Pre,Counselor,Left,8,20:25:19,20:30:55,00:05:36,Females,Niki,0.044,0.044,"[(0.041, 388)]",0.009,0.66,0.657,"[(0.612, 388)]",0.137
30,Pre,Counselor,Right,8,20:25:19,20:30:55,00:05:36,Females,Niki,0.05,0.046,"[(0.086, 153)]",0.027,0.525,0.484,"[(0.905, 153)]",0.286
30,Pre,Student,Left,4,20:25:19,20:30:55,00:05:36,Females,Niki,1.778,1.929,"[(0.002, 58)]",0.741,0.575,0.623,"[(0.001, 66)]",0.24
30,Pre,Student,Right,8,20:25:19,20:30:55,00:05:36,Females,Niki,2.06,2.325,"[(0.0, 112)]",0.826,0.597,0.674,"[(0.0, 112)]",0.239
30,Post,Counselor,Left,,,,,,,,,,,,,,
30,Post,Counselor,Right,8,19:03:32,19:9:33,00:06:01,Females,(missing sensor data from counselor),0.054,0.056,"[(0.035, 188)]",0.026,0.552,0.571,"[(0.357, 188)]",0.269
30,Post,Student,Left,4,19:03:32,19:9:33,00:06:01,Females,(missing sensor data from counselor),0.571,0.028,"[(0.002, 36)]",1.014,0.108,0.005,"[(0.0, 36)]",0.192
30,Post,Student,Right,8,19:03:32,19:9:33,00:06:01,Females,(missing sensor data from counselor),3.545,3.612,"[(0.0, 174)]",1.982,0.518,0.528,"[(0.0, 177)]",0.29
30,Intervention,Student,Left,4,15:05:21,15:23:49,00:18:28,,,1.641,1.546,"[(0.002, 80)]",0.884,0.472,0.444,"[(0.001, 84)]",0.254
30,Intervention,Student,Right,8,15:05:21,15:23:49,00:18:28,,,0.809,0.663,"[(0.649, 77)]",0.408,0.359,0.294,"[(0.288, 78)]",0.181
31,Pre,Counselor,Left,8,20:50:02,20:58:26,00:08:24,Females,,0.043,0.044,"[(0.039, 487)]",0.01,0.563,0.579,"[(0.513, 487)]",0.137
31,Pre,Counselor,Right,8,20:50:02,20:58:26,00:08:24,Females,,0.07,0.079,"[(0.116, 139)]",0.04,0.48,0.541,"[(0.795, 139)]",0.271
31,Pre,Student,Left,4,20:50:02,20:58:26,00:08:24,Females,,1.52,1.796,"[(0.002, 88)]",0.948,0.413,0.488,"[(0.001, 88)]",0.258
31,Pre,Student,Right,8,20:50:02,20:58:26,00:08:24,Females,,2.297,2.57,"[(3.046, 70)]",0.925,0.566,0.634,"[(0.751, 70)]",0.228
31,Post,Counselor,Left,8,20:07:00,20:16:15,00:9:15,Females,,0.037,0.039,"[(0.031, 323)]",0.011,0.731,0.78,"[(0.62, 323)]",0.215
31,Post,Counselor,Right,,,,,,,,,,,,,,
31,Post,Student,Left,,,,,,,,,,,,,,
31,Post,Student,Right,4,20:07:00,20:16:15,00:9:15,Females,,1.433,1.658,"[(1.733, 68)]",0.527,0.689,0.798,"[(0.834, 68)]",0.254
31,Intervention,Student,Left,,,,,,,,,,,,,,
31,Intervention,Student,Right,,,,,,,,,,,,,,
32,Pre,Counselor,Left,8,21:10:25,21:18:08,00:07:43,Females,Sarine,0.06,0.061,"[(0.063, 455)]",0.015,0.689,0.701,"[(0.724, 455)]",0.175
32,Pre,Counselor,Right,8,21:10:25,21:18:08,00:07:43,Females,Sarine,0.084,0.093,"[(0.098, 111)]",0.039,0.603,0.664,"[(0.7, 111)]",0.277
32,Pre,Student,Left,4,21:10:25,21:18:08,00:07:43,Females,Sarine,0.055,0.025,"[(0.025, 60)]",0.057,0.109,0.05,"[(0.05, 60)]",0.114
32,Pre,Student,Right,8,21:10:25,21:18:08,00:07:43,Females,Sarine,2.019,2.39,"[(0.0, 211)]",0.962,0.578,0.684,"[(0.0, 211)]",0.275
32,Post,Counselor,Left,8,20:56:39,21:04:01,00:07:22,Females,Sarine,0.028,0.039,"[(0.002, 33)]",0.02,0.526,0.722,"[(0.037, 33)]",0.362
32,Post,Counselor,Right,8,20:56:39,21:04:01,00:07:22,Females,Sarine,0.034,0.029,"[(0.02, 208)]",0.021,0.443,0.382,"[(0.263, 208)]",0.28
32,Post,Student,Left,4,20:56:39,21:04:01,00:07:22,Females,Sarine,4.269,5.564,"[(5.623, 34)]",2.007,0.689,0.898,"[(0.926, 34)]",0.324
32,Post,Student,Right,8,20:56:39,21:04:01,00:07:22,Females,Sarine,3.143,4.111,"[(0.0, 141)]",1.766,0.595,0.779,"[(0.0, 143)]",0.334
32,Intervention,Student,Left,,,,,,,,,,,,,,
32,Intervention,Student,Right,8,14:21:17,14:37:01,00:15:44,,,2.265,2.352,"[(0.004, 123)]",0.909,0.533,0.553,"[(0.001, 132)]",0.214
33,Pre,Counselor,Left,8,21:00:38,21:08:53,00:08:15,Females,Pritee,0.058,0.059,"[(0.059, 1197)]",0.007,0.759,0.776,"[(0.776, 1197)]",0.093
33,Pre,Counselor,Right,8,21:00:38,21:08:53,00:08:15,Females,Pritee,0.076,0.082,"[(0.095, 347)]",0.028,0.594,0.641,"[(0.742, 347)]",0.22
33,Pre,Student,Left,4,21:00:38,21:08:53,00:08:15,Females,Pritee,0.027,0.002,"[(0.002, 103)]",0.042,0.127,0.009,"[(0.009, 103)]",0.194
33,Pre,Student,Right,8,21:00:38,21:08:53,00:08:15,Females,Pritee,0.051,0.053,"[(0.048, 291)]",0.029,0.06,0.062,"[(0.056, 291)]",0.034
33,Post,Counselor,Left,8,21:06:50,21:14:40,00:07:50,Females,,0.032,0.039,"[(0.039, 58)]",0.016,0.695,0.848,"[(0.848, 58)]",0.341
33,Post,Counselor,Right,8,21:06:50,21:14:40,00:07:50,Females,,0.036,0.037,"[(0.068, 244)]",0.02,0.5,0.514,"[(0.944, 244)]",0.281
33,Post,Student,Left,4,21:06:50,21:14:40,00:07:50,Females,,0.051,0.049,"[(0.09, 45)]",0.033,0.473,0.454,"[(0.833, 45)]",0.303
33,Post,Student,Right,8,21:06:50,21:14:40,00:07:50,Females,,0.061,0.066,"[(0.077, 217)]",0.03,0.401,0.434,"[(0.507, 217)]",0.2
33,Intervention,Student,Left,4,16:36:08,16:50:34,00:14:26,,,0.023,0.018,"[(0.008, 274)]",0.032,0.022,0.018,"[(0.008, 274)]",0.031
33,Intervention,Student,Right,8,16:36:08,16:50:34,00:14:26,,,0.026,0.02,"[(0.008, 275)]",0.026,0.031,0.024,"[(0.01, 275)]",0.031
34,Pre,Counselor,Left,8,21:45:54,21:54:54,00:9:00,Females,Stephanie,0.039,0.039,"[(0.052, 540)]",0.013,0.644,0.639,"[(0.852, 540)]",0.205
34,Pre,Counselor,Right,8,21:45:54,21:54:54,00:9:00,Females,Stephanie,0.046,0.049,"[(0.062, 155)]",0.027,0.376,0.398,"[(0.504, 155)]",0.219
34,Pre,Student,Left,4,21:45:54,21:54:54,00:9:00,Females,Stephanie,4.464,4.79,"[(5.246, 34)]",1.705,0.601,0.645,"[(0.706, 34)]",0.23
34,Pre,Student,Right,8,21:45:54,21:54:54,00:9:00,Females,Stephanie,3.584,3.61,"[(0.0, 176)]",1.885,0.554,0.558,"[(0.0, 182)]",0.291
34,Post,Counselor,Left,8,20:27:38,20:36:15,00:08:37,Females,,0.039,0.039,"[(0.041, 435)]",0.01,0.616,0.619,"[(0.651, 435)]",0.155
34,Post,Counselor,Right,8,20:27:38,20:36:15,00:08:37,Females,,0.061,0.061,"[(0.101, 184)]",0.026,0.578,0.581,"[(0.962, 184)]",0.251
34,Post,Student,Left,4,20:27:38,20:36:15,00:08:37,Females,,2.726,2.55,"[(0.002, 45)]",1.735,0.454,0.425,"[(0.0, 45)]",0.289
34,Post,Student,Right,8,20:27:38,20:36:15,00:08:37,Females,,5.319,6.008,"[(6.56, 152)]",1.596,0.767,0.866,"[(0.946, 152)]",0.23
34,Intervention,Student,Left,4,11:27:07,11:59:57,00:32:50,,,6.566,6.713,"[(7.443, 207)]",1.108,0.788,0.806,"[(0.894, 207)]",0.133
34,Intervention,Student,Right,8,11:27:07,11:59:57,00:32:50,,,4.978,4.903,"[(5.641, 192)]",1.134,0.643,0.634,"[(0.575, 198)]",0.147
35,Pre,Counselor,Left,8,21:56:27,22:03:00,00:06:33,Females,Carissa,0.042,0.044,"[(0.046, 361)]",0.008,0.769,0.8,"[(0.836, 361)]",0.14
35,Pre,Counselor,Right,8,21:56:27,22:03:00,00:06:33,Females,Carissa,0.091,0.107,"[(0.142, 81)]",0.05,0.594,0.695,"[(0.922, 81)]",0.323
35,Pre,Student,Left,4,21:56:27,22:03:00,00:06:33,Females,Carissa,0.716,0.698,"[(0.002, 42)]",0.499,0.409,0.399,"[(0.001, 42)]",0.285
35,Pre,Student,Right,8,21:56:27,22:03:00,00:06:33,Females,Carissa,0.039,0.004,"[(0.0, 814)]",0.124,0.031,0.003,"[(0.0, 814)]",0.098
35,Post,Counselor,Left,8,21:47:43,21:53:43,00:06:00,Females,,0.024,0.039,"[(0.039, 30)]",0.019,0.554,0.886,"[(0.886, 30)]",0.441
35,Post,Counselor,Right,8,21:47:43,21:53:43,00:06:00,Females,,0.025,0.027,"[(0.01, 192)]",0.016,0.44,0.474,"[(0.175, 192)]",0.289
35,Post,Student,Left,4,21:47:43,21:53:43,00:06:00,Females,,0.011,0.002,"[(0.002, 69)]",0.054,0.031,0.006,"[(0.006, 69)]",0.155
35,Post,Student,Right,8,21:47:43,21:53:43,00:06:00,Females,,0.256,0.26,"[(0.0, 171)]",0.149,0.45,0.456,"[(0.0, 171)]",0.262
35,Intervention,Student,Left,,,,,,,,,,,,,,
35,Intervention,Student,Right,8,18:03:07,18:33:44,00:30:37,,,0.058,0.049,"[(0.047, 847)]",0.036,0.044,0.037,"[(0.036, 847)]",0.027
36,Pre,Counselor,Left,8,22:25:02,22:32:20,00:07:18,Females,Yoomjeong,0.028,0.025,"[(0.037, 85)]",0.011,0.539,0.481,"[(0.712, 85)]",0.206
