Participant = 10
precl,precr,presl,presr,poscl,poscr,possl,possr,intl,intr
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77100000000000002,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76446770372902884,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75793540745805754,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75140311118708636,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74487081491611518,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73833851864514399,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7318062223741727,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72527392610320152,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72392842316051675,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72779447605558134,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73166052895064593,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73552658184571051,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7393926347407751,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74325868763583969,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74712474053090427,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75099079342596886,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75432486751813232,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75765767173801557,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76099047595789882,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76432328017778217,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76765608439766542,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77098888861754866,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77432169283743191,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77785303670419303,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78158577743046231,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78531851815673159,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78905125888300076,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79278399960927004,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79651674033553932,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8002494810618086,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80398222178807788,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8022751959754818,0.0
